ID,Place (x),Knowledge (y),Action (z),ETName
2646,-0.8125,0.375,-0.375,Ecoscience
2647,0,-0.125,-0.375,Small Green Steps
2648,-0.375,0.125,0.6875,Earth Justice
2649,-0.3125,0.1875,0,Ecoscience
2650,0.125,0.4375,-0.125,Science for Humanity
2651,0.375,-0.625,-0.25,Indigenous Justice
2652,0.6875,-0.5625,-0.5,Other
2653,0.1875,-0.125,-0.0625,Other
2654,0,-0.5,-0.125,Ecospirituality
2655,-0.3125,-0.1875,-0.25,Small Green Steps
2656,0.25,0.3125,0.0625,Science for Humanity
2657,0.125,0.125,0.3125,Science Policy
2660,-0.4375,-0.125,-0.3125,Small Green Steps
2661,-0.125,-0.375,-0.1875,Ecospirituality
2663,-0.25,-0.5,0.75,Indigenous Justice
2666,-0.0625,0.0625,0.25,Earth Justice
2667,-0.0625,-0.375,0,Ecospirituality
2668,-0.25,-0.625,0.9375,Indigenous Justice
2669,-0.125,0.0625,0.5,Earth Justice
2670,-0.5,0.0625,-0.125,Small Green Steps
2672,-0.125,0,0.625,Earth Justice
2674,-0.25,-0.3125,-0.1875,Ecospirituality
2675,-0.25,0.125,0.5625,Earth Justice
2677,-0.625,-0.3125,0.4375,Earth Justice
2678,-0.1875,0.0625,0.1875,Earth Justice
2679,-0.25,0.125,0,Ecoscience
2681,0.3125,-0.3125,0.5,Indigenous Justice
2685,-0.125,0.0625,0.6875,Earth Justice
2686,0.125,-0.125,0.6875,Indigenous Justice
2687,-0.5625,-0.4375,0.875,Earth Justice
2688,-0.625,-0.125,0.25,Earth Justice
2690,-0.3125,-0.5,0.25,Ecospirituality
2691,-0.4375,-0.5,0.75,Indigenous Justice
2697,0,-0.375,0.125,Indigenous Justice
2698,-0.0625,0,-0.0625,Other
2699,0.125,0.125,0.9375,Science Policy
2700,-0.1875,-0.375,0.6875,Indigenous Justice
2701,-0.1875,-0.5625,0.4375,Indigenous Justice
2702,-0.375,0.125,0.125,Ecoscience
2703,-0.375,-0.4375,0.8125,Indigenous Justice
2705,0.25,0.375,-0.125,Science for Humanity
2706,-0.1875,-0.4375,-0.125,Ecospirituality
2707,-0.0625,-0.375,0.9375,Indigenous Justice
2710,0.3125,0.1875,-0.5,Science for Humanity
2712,-0.1875,-0.1875,0.75,Earth Justice
2713,-0.1875,0.125,0.25,Earth Justice
2714,0.125,0.1875,0.875,Science Policy
2715,-0.25,0.0625,0.25,Earth Justice
2716,0.0625,0.0625,0,Other
2717,0,0,0,Other
2718,-0.625,0.1875,0.125,Ecoscience
2719,0.4375,0.5,0.125,Science for Humanity
2720,-0.25,-0.125,0.9375,Earth Justice
2721,0.0625,-0.1875,0.1875,Indigenous Justice
2722,-0.0625,0.625,0.4375,Science Policy
2723,-0.125,0.125,-0.1875,Small Green Steps
2724,-0.4375,0.4375,0.1875,Ecoscience
2725,0.25,0.1875,0.1875,Science for Humanity
2726,-0.3125,0,1,Earth Justice
2727,-0.25,-0.1875,0.25,Earth Justice
2728,-0.4375,-0.1875,0.1875,Ecospirituality
2729,-0.3125,-0.1875,-0.125,Ecospirituality
2730,-0.125,0.375,0.625,Science Policy
2731,-0.3125,-0.1875,-0.1875,Ecospirituality
2732,0.0625,-0.4375,-0.125,Ecospirituality
2733,0.125,0.4375,0.5625,Science Policy
2734,0,0.375,0.75,Science Policy
2735,-0.3125,-0.1875,0.1875,Ecospirituality
2736,-0.0625,0,0,Other
2737,0,0,-0.25,Other
2738,-0.125,0.5,0.4375,Science Policy
2739,-0.25,0,-0.25,Small Green Steps
2740,0.25,0.125,0,Science for Humanity
2741,-0.0625,0.3125,0.25,Science Policy
2744,-0.375,-0.3125,0.0625,Ecospirituality
2745,0,0,0,Other
2748,-0.0625,-0.375,0.3125,Indigenous Justice
2749,-0.4375,-0.25,0.375,Earth Justice
2750,0,0,0,Other
2751,-0.3125,-0.125,-0.25,Small Green Steps
2752,-0.5,-0.3125,0.3125,Ecospirituality
2753,0,0.1875,0.375,Science Policy
2754,-0.1875,0.0625,-0.1875,Small Green Steps
2755,-0.25,-0.125,-0.1875,Small Green Steps
2756,-0.1875,0.1875,0.25,Earth Justice
2757,0,-0.0625,-0.25,Other
2758,-0.1875,-0.1875,0.0625,Ecospirituality
2759,0,-0.3125,-0.1875,Ecospirituality
2760,-0.25,0.1875,0.375,Earth Justice
2761,-0.1875,-0.3125,0,Ecospirituality
2762,-0.5,0.125,0.375,Earth Justice
2763,0.125,-0.125,0.375,Indigenous Justice
2764,0.125,-0.25,0,Other
2765,-0.5625,-0.5625,0.3125,Ecospirituality
2766,0.625,0.8125,0.625,Science Policy
2767,-0.1875,0.375,0.4375,Science Policy
2768,0,-0.375,0,Ecospirituality
2769,-0.0625,0.1875,-0.1875,Other
2771,0.0625,-0.0625,-0.125,Other
2772,-0.375,-0.1875,-0.4375,Small Green Steps
2774,-0.3125,-0.6875,0.5,Indigenous Justice
2777,-0.625,0.3125,0.375,Earth Justice
2779,-0.4375,-0.125,-0.0625,Ecospirituality
2781,0.0625,-0.25,-0.125,Other
2782,0,0,0.0625,Other
2784,-0.25,-0.3125,-0.4375,Small Green Steps
2785,-0.0625,0.1875,0.1875,Science Policy
2786,-0.3125,0,0.1875,Earth Justice
2787,0.0625,0.0625,-0.125,Other
2788,-0.0625,0.25,0,Ecoscience
2789,0,0,0,Other
2790,-0.5,-0.25,0.3125,Earth Justice
2791,-0.125,-0.4375,0.5,Indigenous Justice
2792,-0.0625,-0.125,0.125,Other
2794,-0.1875,-0.25,0,Ecospirituality
2795,0.125,-0.25,-0.25,Other
2796,0,0,-0.25,Other
2797,-0.3125,-0.6875,0.3125,Ecospirituality
2798,-0.375,-0.1875,0.3125,Earth Justice
2799,-0.25,-0.1875,-0.375,Small Green Steps
2800,-0.3125,-0.375,-0.0625,Ecospirituality
2801,-0.1875,-0.125,0.0625,Ecospirituality
2802,-0.4375,-0.0625,-0.125,Small Green Steps
2803,-0.1875,-0.1875,-0.1875,Ecospirituality
2804,0,0.0625,-0.375,Small Green Steps
2806,-0.25,0,0,Other
2807,-0.1875,-0.5625,0,Ecospirituality
2808,-0.3125,-0.9375,0.375,Indigenous Justice
2809,-0.25,-0.4375,-0.3125,Ecospirituality
2811,-0.5,-0.1875,0.25,Earth Justice
2812,-0.1875,0.0625,-0.125,Small Green Steps
2813,0.125,-0.375,0.25,Indigenous Justice
2815,0.375,-0.25,0,Other
2816,-0.125,-0.3125,0.8125,Indigenous Justice
2818,-0.25,0.0625,-0.25,Small Green Steps
2819,-0.6875,-0.75,0.75,Indigenous Justice
2820,0.125,-0.125,-0.0625,Other
2821,-0.25,0.125,-0.125,Ecoscience
2822,-0.1875,0.1875,-0.125,Ecoscience
2823,-0.0625,-0.375,-0.1875,Ecospirituality
2825,0.25,0,0.1875,Other
2826,-0.3125,-0.0625,-0.0625,Ecospirituality
2827,0.0625,-0.125,0.0625,Other
2828,-0.1875,0.1875,-0.0625,Ecoscience
2829,0,0,0,Other
2830,-0.3125,0,0.4375,Earth Justice
2833,0.0625,-0.375,0.5625,Indigenous Justice
2836,-0.1875,0.375,0.25,Science Policy
2837,0.0625,0.0625,0.4375,Science Policy
2838,0.0625,0.1875,0.9375,Science Policy
2839,0.125,0.1875,0.3125,Science Policy
2840,-0.8125,0.8125,0.625,Ecoscience
2841,-0.5625,0.3125,0.1875,Ecoscience
2842,-0.125,0.25,0,Ecoscience
2843,-0.125,-0.0625,0.0625,Other
2844,-0.0625,-0.25,-0.6875,Small Green Steps
2845,-0.375,0.375,0.6875,Earth Justice
2846,0.3125,0.1875,-0.25,Science for Humanity
2847,0.1875,0.875,0.5625,Science Policy
2848,-0.1875,-0.25,0.1875,Ecospirituality
2849,-0.0625,0.1875,0.0625,Other
2850,-0.125,0.0625,0.375,Earth Justice
2851,-0.4375,-0.3125,-0.125,Ecospirituality
2852,-0.4375,0.4375,0.0625,Ecoscience
2853,0,0,0,Other
2854,-0.125,-0.1875,0.625,Indigenous Justice
2855,-0.3125,-0.0625,0.0625,Ecospirituality
2856,0,-0.0625,0.5625,Indigenous Justice
2857,-0.125,-0.0625,0.25,Earth Justice
2858,0.0625,0.125,-0.4375,Small Green Steps
2859,-0.0625,-0.125,-0.3125,Small Green Steps
2860,-0.5,-0.0625,0.0625,Ecospirituality
2861,-0.9375,-0.9375,-0.625,Ecospirituality
2862,-0.0625,-0.0625,-0.1875,Other
2864,-0.375,-0.3125,0.625,Earth Justice
2866,-0.25,0.1875,0.625,Earth Justice
2867,-0.125,0.1875,0.0625,Ecoscience
2868,0.375,0.125,0.0625,Science for Humanity
2869,0,0.1875,0.1875,Science Policy
2870,0,-0.375,0.75,Indigenous Justice
2871,-0.625,-0.25,-0.25,Ecospirituality
2872,-0.6875,-0.375,-0.0625,Ecospirituality
2873,-0.125,-0.375,0,Ecospirituality
2874,0,0.5625,0.5625,Science Policy
2876,-0.0625,0,0.375,Earth Justice
2877,-0.5625,0.375,0.5625,Earth Justice
2878,0,-0.25,0.4375,Indigenous Justice
2880,-0.1875,-0.1875,0.6875,Earth Justice
2881,0.3125,0,0.1875,Science for Humanity
2883,-0.1875,-0.125,-0.1875,Small Green Steps
2884,-0.125,-0.4375,-0.5,Small Green Steps
2885,-0.1875,-0.1875,0.0625,Ecospirituality
2886,0.25,-0.0625,0.875,Indigenous Justice
2887,-0.125,-0.0625,-0.4375,Small Green Steps
2888,0.1875,-0.25,0.375,Indigenous Justice
2892,-0.3125,0.0625,-0.3125,Small Green Steps
2893,0.125,0.1875,0.9375,Science Policy
2895,-0.1875,-0.3125,0.5625,Indigenous Justice
2896,0.3125,0.625,-0.125,Science for Humanity
2897,0.1875,-0.25,-0.0625,Other
2898,-0.25,-0.375,0.1875,Ecospirituality
2900,-0.0625,0.3125,0.5,Science Policy
2901,0,0.1875,-0.25,Other
2902,0.125,0.4375,0.0625,Science for Humanity
2903,0,-0.3125,0.6875,Indigenous Justice
2904,0.0625,-0.125,-0.1875,Other
2905,0.125,-0.1875,-0.0625,Other
2907,-0.3125,-0.0625,-0.375,Small Green Steps
2909,0.0625,0.1875,-0.3125,Other
2910,-0.375,-0.375,-0.375,Ecospirituality
2913,-0.5,0.25,-0.25,Ecoscience
2914,0.1875,0,-0.0625,Other
2915,-0.0625,0.25,-0.25,Ecoscience
2917,-0.875,-0.125,0.25,Earth Justice
2920,-0.4375,-0.4375,0.125,Ecospirituality
2925,0.0625,0.25,-0.125,Science for Humanity
2926,-0.375,-0.125,-0.0625,Ecospirituality
2927,-0.75,-0.5,0.5625,Earth Justice
2928,-0.75,-1,-0.6875,Ecospirituality
2929,0.0625,-0.25,0.1875,Indigenous Justice
2930,-0.375,0.1875,0.125,Ecoscience
2931,-0.4375,0,0.0625,Earth Justice
2932,-0.125,-0.25,-0.375,Small Green Steps
2933,0.1875,-0.0625,-0.3125,Other
2934,0,0.125,-0.3125,Small Green Steps
2935,-0.5625,-0.0625,-0.25,Small Green Steps
2936,-0.125,0.25,0.375,Science Policy
2937,-0.6875,0.125,-0.125,Ecoscience
2938,-0.1875,0.25,0.6875,Science Policy
2939,-0.3125,-0.125,-0.125,Ecospirituality
2940,-0.0625,-0.125,-0.25,Small Green Steps
2941,-0.3125,-0.0625,0.3125,Earth Justice
2942,0.125,0.1875,0.375,Science Policy
2943,-0.25,-0.5,0.5625,Indigenous Justice
2944,0,-0.1875,0.875,Indigenous Justice
2945,-0.5,0.1875,0.3125,Earth Justice
2946,-0.25,0.125,0.3125,Earth Justice
2947,-0.0625,-0.125,0.1875,Indigenous Justice
2948,-0.125,-0.1875,-0.125,Ecospirituality
2949,0.0625,0,0,Other
2950,-0.5625,-0.0625,0.0625,Ecospirituality
2951,-0.25,-0.3125,-0.25,Ecospirituality
2952,-0.0625,-0.125,0.25,Indigenous Justice
2953,0,0.1875,0.4375,Science Policy
2954,-0.1875,-0.3125,-0.0625,Ecospirituality
2955,0,-0.1875,-0.5625,Small Green Steps
2956,0.1875,0.4375,0.625,Science Policy
2957,-0.5,-0.125,-0.4375,Small Green Steps
2958,-0.375,-0.5625,0.125,Ecospirituality
2959,0,0.0625,-0.4375,Small Green Steps
2960,0.0625,0.1875,0.1875,Science Policy
2961,-0.3125,0,-0.3125,Small Green Steps
2962,-0.1875,-0.1875,0.1875,Ecospirituality
2963,-0.25,0.625,-0.125,Ecoscience
2964,-0.375,-0.3125,0.0625,Ecospirituality
2965,-0.125,-0.125,-0.25,Small Green Steps
2966,-0.5625,0.0625,-0.5,Small Green Steps
2967,-0.3125,0.125,0.625,Earth Justice
2968,-0.125,0.375,-0.5,Small Green Steps
2969,-0.5,-0.1875,0.25,Earth Justice
2970,0,0.25,-0.25,Other
2971,-0.1875,0.1875,-0.3125,Small Green Steps
2973,-0.4375,-0.375,0.1875,Ecospirituality
2975,-0.0625,-0.4375,0.0625,Ecospirituality
2976,0,0.5625,-0.0625,Ecoscience
2977,0,0.375,0.8125,Science Policy
2978,-0.1875,0.625,0.5,Science Policy
2979,-0.4375,-0.375,0.125,Ecospirituality
2980,0.0625,-0.3125,0.625,Indigenous Justice
2981,-0.5625,0.125,0.125,Ecoscience
2982,0.0625,0.1875,0.3125,Science Policy
2983,-0.375,0,-0.1875,Small Green Steps
2984,-0.25,0.25,0.6875,Earth Justice
2985,-0.1875,0.1875,0.75,Earth Justice
2986,-0.625,0,0.125,Earth Justice
2987,-0.1875,-0.125,0.6875,Earth Justice
2988,-0.6875,-0.25,0.1875,Ecospirituality
2989,0,-0.3125,0.0625,Indigenous Justice
2990,-0.5,-0.1875,0.8125,Earth Justice
2991,-0.375,-0.1875,-0.25,Small Green Steps
2992,-0.25,0.4375,0.75,Science Policy
2993,-0.625,-0.25,0.1875,Ecospirituality
2994,-0.125,-0.25,1,Indigenous Justice
2995,-0.0625,0.25,0.0625,Ecoscience
2996,-0.25,-0.1875,0.75,Earth Justice
2998,0.1875,-0.375,0.3125,Indigenous Justice
2999,0.0625,0.0625,-0.0625,Other
3000,-0.25,-0.0625,0.375,Earth Justice
3001,-0.5625,0.1875,0.5,Earth Justice
3002,-0.25,-0.25,0.9375,Earth Justice
3003,-0.4375,0.25,0.1875,Ecoscience
3004,0.0625,-0.125,0.0625,Other
3005,0,-0.375,1,Indigenous Justice
3006,-0.1875,-0.4375,-0.125,Ecospirituality
3007,-0.5,-0.4375,0.8125,Earth Justice
3008,0,0.0625,-0.125,Other
3009,-0.6875,0.125,0.375,Earth Justice
3010,-0.5625,-0.1875,0.5,Earth Justice
3012,0.0625,-0.125,0.625,Indigenous Justice
3013,-0.4375,-0.375,0.4375,Earth Justice
3018,0.0625,0.5,0.5,Science Policy
3019,0.3125,0.5,0.0625,Science for Humanity
3020,-0.3125,-0.0625,0.1875,Earth Justice
3021,0.3125,0.0625,0,Science for Humanity
3025,-0.125,0.875,0.375,Science Policy
3026,-0.1875,0.25,-0.125,Ecoscience
3027,-0.125,0.75,0.0625,Ecoscience
3028,-0.5,-0.0625,0.625,Earth Justice
3029,-0.4375,-0.4375,0,Ecospirituality
3031,-0.3125,-0.0625,-0.0625,Ecospirituality
3032,-0.375,0.125,0.125,Ecoscience
3033,-0.4375,-0.0625,1,Earth Justice
3034,0.0625,-0.4375,0.6875,Indigenous Justice
3035,-0.4375,-0.3125,0.5625,Earth Justice
3036,0.5,0.3125,0.125,Science for Humanity
3037,-0.4375,-0.375,0.8125,Earth Justice
3038,-0.1875,0.0625,0.375,Earth Justice
3039,-0.5625,0.3125,0.125,Ecoscience
3040,-0.1875,0.5,0.5,Science Policy
3041,-0.125,0.125,0.5,Earth Justice
3043,-0.25,0.3125,0,Ecoscience
3044,-0.3125,-0.1875,0.4375,Earth Justice
3045,-0.125,0.375,-0.0625,Ecoscience
3046,0,0.375,0.8125,Science Policy
3048,0,0.3125,0.0625,Science Policy
3050,-0.125,-0.125,-0.0625,Other
3055,-0.5,-0.125,0.0625,Ecospirituality
3056,-0.1875,0,0.0625,Other
3057,-0.3125,-0.125,0,Ecospirituality
3058,-0.3125,-0.125,0.3125,Earth Justice
3059,-0.25,-0.4375,0.625,Indigenous Justice
3060,-0.4375,-0.125,0.3125,Earth Justice
3061,-0.375,0.25,0.4375,Earth Justice
3062,-0.1875,-0.125,0,Ecospirituality
3063,-0.3125,-0.1875,-0.125,Ecospirituality
3064,-0.25,0.25,-0.1875,Ecoscience
3065,-0.3125,0.0625,0.125,Earth Justice
3066,-0.5625,0,0.375,Earth Justice
3067,-0.3125,0.25,0.5625,Earth Justice
3068,-0.8125,0.1875,0.25,Earth Justice
3069,-0.5625,0.0625,0.375,Earth Justice
3070,0,0.375,0,Ecoscience
3071,-0.4375,-0.25,-0.1875,Ecospirituality
3072,-0.375,-0.0625,0.3125,Earth Justice
3073,-0.0625,0.125,-0.0625,Other
3074,-0.5,0,0.5,Earth Justice
3075,-0.5625,0.125,-0.25,Small Green Steps
3076,-0.25,0,-0.3125,Small Green Steps
3080,-0.375,-0.1875,0.3125,Earth Justice
3081,-0.3125,0.0625,0.5625,Earth Justice
3083,-0.625,0.375,1,Earth Justice
3084,0.1875,0.0625,0.4375,Science Policy
3085,-0.375,-0.3125,0.1875,Ecospirituality
3086,0.125,0.1875,-0.0625,Science for Humanity
3088,-0.0625,-0.0625,0.125,Other
3091,-0.375,-0.0625,0.75,Earth Justice
3095,-0.5625,0,0.375,Earth Justice
3096,0,0.3125,0.5625,Science Policy
3097,-0.4375,-0.25,-0.4375,Small Green Steps
3099,-0.5,0.0625,-0.25,Small Green Steps
3100,0.125,0.1875,-0.3125,Science for Humanity
3101,-0.5,-0.125,0.5,Earth Justice
3103,-0.25,-0.5625,0.4375,Indigenous Justice
3104,-0.1875,-0.0625,0.375,Earth Justice
3105,-0.125,-0.0625,-0.0625,Other
3107,-0.0625,0,-0.125,Other
3108,-0.4375,-0.5625,-0.8125,Small Green Steps
3109,-0.3125,-0.75,0.3125,Ecospirituality
3110,-0.375,0.0625,0.9375,Earth Justice
3111,-0.1875,-0.625,0.6875,Indigenous Justice
3112,-0.25,-0.1875,-0.3125,Small Green Steps
3113,-0.125,0.5625,-0.5,Ecoscience
3114,-0.4375,0.0625,0.0625,Ecoscience
3115,-0.25,-0.25,0.4375,Earth Justice
3118,-0.1875,-0.4375,-0.4375,Ecospirituality
3120,0.0625,-0.125,0.4375,Indigenous Justice
3121,-0.0625,0,-0.1875,Other
3122,-0.25,-0.1875,0.125,Ecospirituality
3123,-0.1875,-0.3125,0.125,Ecospirituality
3124,-0.4375,0.125,0.1875,Earth Justice
3125,-0.125,-0.25,-0.5,Small Green Steps
3126,-0.5,-0.0625,0,Ecospirituality
3127,0.3125,0.0625,0.5625,Science Policy
3128,0,0.0625,0,Other
3131,-0.5,0.6875,0.3125,Ecoscience
3132,0.1875,0.1875,-0.1875,Science for Humanity
3133,-0.125,-0.375,0.375,Indigenous Justice
3134,-0.6875,-0.3125,-0.0625,Ecospirituality
3136,-0.0625,-0.3125,-0.375,Small Green Steps
3138,-0.6875,-0.0625,-0.0625,Ecospirituality
3139,-0.4375,0.3125,0.6875,Earth Justice
3140,0.1875,-0.125,0.0625,Other
3141,0.1875,-0.125,0.0625,Other
3142,-0.125,-0.375,-0.1875,Ecospirituality
3143,-0.375,-0.5,-0.125,Ecospirituality
3144,-0.625,0,-0.375,Small Green Steps
3145,-0.25,-0.25,-0.0625,Ecospirituality
3146,0.125,0.125,0.125,Other
3147,-0.3125,0.0625,-0.1875,Small Green Steps
3148,-0.3125,0.4375,0.0625,Ecoscience
3149,-0.6875,-0.4375,0.1875,Ecospirituality
3150,0.1875,0.375,-0.125,Science for Humanity
3151,-0.375,-0.125,-0.1875,Small Green Steps
3152,-0.25,-0.4375,0.75,Indigenous Justice
3153,-0.3125,-0.5625,-0.25,Ecospirituality
3154,-0.1875,0.125,0.125,Ecoscience
3155,-0.375,-0.125,-0.5,Small Green Steps
3156,-0.625,-0.5625,-0.1875,Ecospirituality
3157,0.0625,0.0625,-0.1875,Other
3159,-0.8125,-0.6875,-0.6875,Ecospirituality
3160,-0.125,-0.125,-0.3125,Small Green Steps
3161,-0.25,0.0625,0.25,Earth Justice
3162,-0.1875,-0.125,-0.125,Ecospirituality
3163,-0.1875,-0.1875,-0.3125,Small Green Steps
3164,0,0.5,0.875,Science Policy
3165,0.0625,-0.125,0.375,Indigenous Justice
3166,-0.4375,0,-0.125,Small Green Steps
3167,-0.1875,-0.4375,-0.0625,Ecospirituality
3168,0,-0.125,0.1875,Indigenous Justice
3169,0.125,0,0.5625,Indigenous Justice
3170,0,-0.0625,-0.4375,Small Green Steps
3171,-0.3125,0.0625,-0.25,Small Green Steps
3173,0,0.0625,0.6875,Science Policy
3174,-0.0625,-0.1875,0.8125,Indigenous Justice
3175,-0.5625,-0.375,-0.0625,Ecospirituality
3176,-0.375,-0.0625,0.125,Earth Justice
3177,-0.4375,-0.1875,-0.125,Ecospirituality
3179,0,0,0,Other
3181,-0.3125,-0.4375,0.4375,Indigenous Justice
3182,-0.4375,-0.25,0.125,Ecospirituality
3183,0.25,0.6875,0.8125,Science Policy
3184,-0.4375,0.5,0.375,Ecoscience
3185,-0.25,-0.375,-0.0625,Ecospirituality
3186,-0.125,-0.125,0.3125,Earth Justice
3187,0.375,0.75,0.625,Science Policy
3207,0.0625,0.0625,0,Other
3208,0.0625,-0.3125,0.875,Indigenous Justice
3209,-0.25,-0.1875,0.4375,Earth Justice
3212,0.0625,-0.375,0.375,Indigenous Justice
3220,-0.125,0.0625,0.375,Earth Justice
3221,-0.125,0.0625,-0.375,Small Green Steps
3223,-0.8125,-0.0625,0.5,Earth Justice
3224,-0.3125,-0.5625,0.75,Indigenous Justice
3227,0,0.25,0.75,Science Policy
3228,-0.3125,-0.625,0.25,Ecospirituality
3229,-0.1875,-0.4375,0.5625,Indigenous Justice
3230,-0.6875,0,0.5,Earth Justice
3232,-0.0625,0.25,0.5,Science Policy
3243,-0.125,-0.5,0.125,Ecospirituality
3244,-0.125,0,0.6875,Earth Justice
3249,0.3125,-0.0625,1,Indigenous Justice
3250,-0.5625,-0.1875,0.375,Earth Justice
3251,-0.4375,0.875,0,Ecoscience
3252,-0.5,-0.1875,0.0625,Ecospirituality
3253,-0.125,0.0625,0.1875,Earth Justice
3254,-0.3125,-0.125,0,Ecospirituality
3255,-0.3125,0.3125,0.25,Ecoscience
3256,-0.1875,0,-0.125,Small Green Steps
3257,0,-0.1875,0.0625,Other
3258,-0.75,0.125,0.3125,Earth Justice
3284,0.375,-0.375,0,Indigenous Justice
3285,-0.375,-0.1875,0.0625,Ecospirituality
3286,0.3125,-0.625,0.5,Indigenous Justice
3280,-0.0625,-0.3125,-0.1875,Ecospirituality
3281,-0.5625,-0.1875,0.0625,Ecospirituality
3282,-0.1875,-0.0625,0.8125,Earth Justice
3283,-0.4375,0.25,0,Ecoscience
3292,0.1875,-0.1875,0.375,Indigenous Justice
3293,0.25,0.1875,0.125,Science for Humanity
3294,-0.5,0.25,0.75,Earth Justice
3295,0.4375,0.75,0,Science for Humanity
3296,-0.125,-0.25,0.5,Indigenous Justice
3297,-0.3125,0.4375,0,Ecoscience
3298,-0.375,-0.125,0.4375,Earth Justice
3300,0,0.0625,0.1875,Other
3301,-0.375,-0.25,0.125,Ecospirituality
3302,-0.25,0,0.625,Earth Justice
3303,-0.0625,-0.3125,-0.125,Ecospirituality
3304,-0.625,0,0.125,Earth Justice
3305,0.1875,0.125,0.5,Science Policy
3306,0.125,-0.3125,-0.0625,Other
3307,-0.375,-0.0625,0.375,Earth Justice
3308,0.125,-0.625,0.75,Indigenous Justice
3309,-0.25,-0.3125,0.1875,Ecospirituality
3310,-0.25,-0.6875,-0.125,Ecospirituality
3311,-0.25,-0.1875,-0.25,Small Green Steps
3312,-0.375,0,-0.25,Small Green Steps
3313,-0.0625,-0.0625,0.625,Earth Justice
3314,0.0625,-0.1875,0.375,Indigenous Justice
3315,-0.5,0.25,0.125,Ecoscience
3316,-0.625,-0.375,0.25,Ecospirituality
3321,-0.6875,-0.25,0.1875,Ecospirituality
3324,-0.375,-0.25,-0.1875,Ecospirituality
3325,-0.1875,0,0.8125,Earth Justice
3326,-0.625,-0.5625,0.3125,Ecospirituality
3327,-0.375,0,0.4375,Earth Justice
3328,-0.0625,-0.6875,0.75,Indigenous Justice
3330,-0.125,-0.0625,0.8125,Earth Justice
3331,-0.375,-0.25,0,Ecospirituality
3333,0.125,-0.25,-0.1875,Other
3334,-0.625,-0.25,0.8125,Earth Justice
3335,0,-0.1875,-0.0625,Other
3336,-0.3125,-0.375,-0.125,Ecospirituality
3338,0.0625,0.125,0,Other
3340,-0.25,0,0.5625,Earth Justice
3341,-0.75,-0.625,0.5625,Ecospirituality
3342,0.0625,0.3125,0.375,Science Policy
3343,-0.125,0.0625,0.25,Earth Justice
3344,0.25,0.125,0.625,Science Policy
3345,0.0625,0.25,0.375,Science Policy
3346,-0.375,-0.4375,0.25,Ecospirituality
3347,0.1875,0.25,0.0625,Science for Humanity
3348,-0.375,-0.25,0.375,Earth Justice
3349,-0.375,-0.3125,0,Ecospirituality
3350,-0.25,-0.1875,0.25,Earth Justice
3351,-0.1875,-0.1875,0.4375,Earth Justice
3352,-0.4375,-0.25,0.9375,Earth Justice
3354,-0.0625,0.1875,-0.1875,Other
3355,-0.4375,0.3125,0.3125,Ecoscience
3356,-0.1875,-0.25,0.3125,Indigenous Justice
3358,-0.125,0.1875,0.625,Science Policy
3359,-0.25,0.0625,0.125,Earth Justice
3360,0.1875,0.5,0.3125,Science Policy
3361,-0.25,-0.375,0.5,Indigenous Justice
3362,0.0625,0.5,0.4375,Science Policy
3363,0.0625,0.5625,-0.3125,Science for Humanity
3364,-0.0625,-0.1875,0.6875,Indigenous Justice
